"BOOK_ID","ACCESSION_DATE","ACC_DATE_STAND","DISCARD_DATE","DISC_DATE_STAND","ACCESSION_NUMBER","DUP_ACC","AUTHOR","TITLE","PUBLISHER","WHERE_PUBLISHED","DATE_PUBLISHED","NUM_VOLS","SIZE","NUM_PAGES","BINDING_TYPE_ID","PROVENANCE","COST_DENOM_ID","COST_FULL","COST_US","COST_UK","ORIGIN_ID","ADDITIONAL_INFO","REVIEW_NOTES","LEDGER_NUM","LEDGER_PAGE_NUM","LAST_MODIFIED","BOOKS_OCLC_ID","DMR_LINK_CODE","DMR_DIRECT_CODE","OLD_DMR_DIRECT_CODE"
"3593","Jan 26 _ 1900","1900-01-20",,,"11430","0","Schubin, _ Osip","O Thou, My Austria","J.B. Lippincott &C.","Phila","1897",,"12","429","1","Purchased by Board",,"0-0-0-0-40","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","243","2011-07-06 09:32:13","3361","AC01_243","673","&CISOPTR=681&CISOSHOW=673"
"3594","May 21st 1884","1884-05-21","Jl. '18","1918-07-01","5004","0","Yonge Charlotte M.","Young Folks Hist of France.",,"Boston Mass","1879","1","12","497","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:10:28","3362","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3595","May 19th 1875","1875-05-19",,,"1984","0",,"R Road Guide.","Rand McNally & Co.","Chicago","1875","I","18","328","9","John R. Barrett & Co.",,,"0.00",,,,,"1","53","2010-10-18 13:37:37","11667","AC01_053","482","&CISOPTR=681&CISOSHOW=482"
"3596","Jan 26 _ 1900","1900-01-26",,,"11431","0","Winter, _John Sharpe","The Other Man's Wife","F.M. Lupton","N.Y.",,,"12","200","1","Purchased by Board",,"0-0-0-0-14","0.00","&pound;0 0s 0d","5","Cost probably in cents instead of pence.

Publisher recorded in the Where Published column.",,"1","243","2011-07-06 09:32:35","3363","AC01_243","673","&CISOPTR=681&CISOSHOW=673"
"3597","May 21st 1884","1884-05-21",,,"5005","0","Yonge Charlotte M.","Young Fols Hist of Germany",,"Boston Mass","1878","1","12","474","1","Public Schools of Muncie",,,"0.00",,"1","Missing Je 1912",,"1","109","2010-12-01 11:10:40","3364","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3598","May 21st 1884","1884-05-21",,,"5006","0","Yonge Charlotte M.","Young folks Hist of Greece",,"Boston Mass","1879","1","12","427","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:10:53","3365","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3599","Jan 26 _ 1900","1900-01-26","Jl. '17","1917-07-01","11432","1","Carey, _R. Nouchette","Merles Crusade","F.M. Lupton","N.Y.",,,"12","237","1","Purchased by Board","2","0-0-0-0-21","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","243","2011-07-06 09:33:09","3366","AC01_243","673","&CISOPTR=681&CISOSHOW=673"
"3600","July 17 1884","1884-07-17",,,"5007","0","Yonge Charlotte M.","Young folks Hist of Rome.",,"N. Y.","1879","1","12","443","1","Public Schools of Muncie",,,"0.00",,"1","Missing 190[6?].",,"1","109","2010-12-01 11:11:08","3367","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3601","July 17 1884","1884-07-17","'39","1939-01-01","5008","0","J. P. Mahaffy. A. M.","Old Greek Life",,"N. Y.","1881","1","18","101","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:11:20","3368","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3602","Jan 26 _ 1900","1900-01-26",,,"11432","1","Verne, _Jules","Michael Strogoff","A.L. Burt","N.Y.",,,"12","361","1","Purchased by Board",,"0-0-0-0-40","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","243","2011-07-06 09:34:18","3369","AC01_243","673","&CISOPTR=681&CISOSHOW=673"
"3603","July 17 1884","1884-07-17",,,"5009","0","A. S. Wilkins","Roman Antiquities",,"N. Y.","1883","1","18","126","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:11:34","3370","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3604","July 2, 1894","1894-07-02",,,"8922","0",,"House Ex. Rept of Sec. of War Vol 3 1890",,"Wash D.C.","1890-1","7","8","748","7","Interior Dept.",,,"0.00",,,,,"1","175","2011-05-09 13:14:14","3371","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3605","July 2, 1984","1894-07-02",,,"8923","0",,"House Miscel. Doc. Rebellion Record series 1 -Vol 25-2",,"Wash D.C.","1891-2","9","8","719","7","Interior Dept.",,,"0.00",,,,,"1","175","2011-05-09 13:15:06","3372","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3606","July 17 1884","1884-07-17",,,"5010","0","Fred Phisterer","Statistical Record",,"N. Y.","1883","1","12","343","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:11:52","3373","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3607","July 2, 1984","1894-07-02",,,"8924","0","House Miscel. Doc.","Rebellion Record series 1 -Vol 34-2",,"Wash D.C.","1891-2","5","8","1235","7","Interior Dept.",,,"0.00",,,,,"1","175","2011-05-09 13:15:35","3374","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3608","July 2, 1984","1894-07-02",,,"8925","0",,"House Miscel. Doc. Rebellion Record series 1 -Vol 36-1",,"Wash D.C.","1891-2","10","8","1228","7","Interior Dept.",,,"0.00",,,,,"1","175","2011-05-09 13:16:05","3375","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3609","July 2, 1894","1894-07-02",,,"8926","0",,"House Miscel Doc. Smithsonian Rept 1892",,"Wash D.C.","1892-3","22","8","811","7",,,,"0.00",,,,,"1","175","2011-05-09 13:18:52","3376","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3610","July 17 1884","1884-07-17","3/38","1938-03-01","5011","0","Prescotts","Conquest of Peru",,"Philadelphia","1883","I","12","510","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:12:10","3377","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3611","July 17 1884","1884-07-17","3/38","1938-03-01","5012","0","Prescotts","Conquest of Peru",,"Philadelphia","1883","II","12","530","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:12:27","3378","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3612","Prescotts","1884-07-17",,,"5013","0","Prescotts","Conquest of Mexico",,"Philadelphia","1883","I","12","477","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:12:40","3379","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3613","July 2, 1894","1894-07-02",,,"8927","0",,"House Miscel Doc. Second Sess - 51st Con",,"Wash D.C.","1892-3","27","8","206","7","Interior Dept.",,,"0.00",,,,,"1","175","2011-05-09 13:23:21","3380","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3614","July 17 1884","1884-07-17","12/38","1938-12-01","5014","0","Prescotts","Conquest of Mexico",,"Philadelphia","1883","II","12","463","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:12:53","3381","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3615","July 17 1884","1884-07-17","12/38","1938-12-01","5015","0","Prescotts","Conquest of Mexico",,"Philadelphia","1883","III","12","522","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:13:06","3382","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3616","July 2, 1894","1894-07-02",,,"8928","0",,"House Miscel Doc. Rebellion Record series 1st - Vol 36-2",,"Wash D.C.","91-2","11","8","1127","7","Interior Dept.",,,"0.00",,,,,"1","175","2011-05-09 13:20:17","3383","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3617","July 17 1884","1884-07-17",,,"5016","0","Richard A. Proctor","Other Worlds Than Ours",,"N. Y.","1883","I","12","334","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:13:21","3384","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3618","July 17 1884","1884-07-17","1914","1914-01-01","5017","0","Richard A. Proctor","The Expanse of Heaven",,"N. Y.","1881","I","12","305","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:13:36","3385","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3619","July 17 1884","1884-07-17",,,"5018","0","M. A. Dwight","Grecian & Roman Mythology.",,"N. Y.","1882","I","8","451","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:13:48","3386","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3620","July 17 1884","1884-07-17","Je. 18","1918-06-01","5019","0","E.D. Mansfield L.L.D.","Personal Memories",,"Cincinnatta","1879","I","12","348","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:14:01","3387","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3621","July 17 1884","1884-07-17",,,"5020","0","Celia Thaxter","Among the Isles of Shoals.",,"Boston","1882","I","18","184","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:14:12","3388","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3622","July 17 1884","1884-07-17",,,"5021","0","Wm C Prime","Tent Life In the Holy Land",,"N Y","1857","I","12","498","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:14:25","3389","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3623","July 17 1884","1884-07-17",,,"5022","0","S B Buckley.","The Fairy Land of Science",,"N Y","1883","I","12","244","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:14:44","3390","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3624","July 17 1884","1884-07-17","'35","1935-01-01","5023","0","Dr. Hayes","Ant Arctic Brat Journey",,"Boston","1883","I","12","387","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:15:05","3391","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3625","July 17 1884","1884-07-17","'35","1935-01-01","5024","0","Bayard Taylor","Egypt & Iceland",,"N Y","1882","I","12","282","1","Public Schools of Muncie",,,"0.00",,"1",,,"1","109","2010-12-01 11:15:17","3392","AC01_109","538","&CISOPTR=681&CISOSHOW=538"
"3626","July 2, 1894","1894-07-02",,,"8929","0",,"House Miscel. Doc. Postal Laws & Regulations",,"Wash D.C.","92-3","8","8","259","7","Interior Dept.",,,"0.00",,,,,"1","175","2011-05-09 13:22:55","3393","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3627","July 2, 1894","1894-07-02",,,"8930","0",,"House Miscel. Doc. Rept Bureau of Ethnology",,"Wash D.C.","92-3","2","8","617","7","Interior Dept.",,,"0.00",,,"J. W. Powell",,"1","175","2011-05-09 13:24:47","3394","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3628","July 2, 1894","1894-07-02",,,"8931","0",,"House Miscel. Doc. Rept Bureau of Ethnology 1888-89",,"Wash D.C.","92-3","25","8","822","7",,,,"0.00",,,"J. W. Powell",,"1","175","2011-05-09 13:25:31","3395","AC01_175","604","&CISOPTR=681&CISOSHOW=604"
"3629","[March 13th 1875]","1875-03-13",,,"647","0","Emilie Flygare Carlen","The Brothers Pet",,"New York","1868","1","8","103","9","H.C. Marsh",,,"0.00",,,,,"1","18","2010-09-24 12:38:24","10956","AC01_018","447","&CISOPTR=681&CISOSHOW=447"
"3630","[March 13th 1875]","1875-03-13",,,"648","0","Emilie Flygare Carlen","Ivar; or, The skjuts-boy.",,"New York","1864","1","8","114","9","H.C. Marsh",,,"0.00",,,,,"1","18","2010-09-24 12:39:42","3396","AC01_018","447","&CISOPTR=681&CISOSHOW=447"
"3631","[March 13th 1875]","1875-03-13",,,"649","0","Emilie Flygare Carlen","The lovers stratagem",,"New York","1864","1","8","143","9","H.C. Marsh",,,"0.00",,,,,"1","18","2010-09-24 14:02:46","3397","AC01_018","447","&CISOPTR=681&CISOSHOW=447"
"3632","[March 13th 1875]","1875-03-13",,,"650","0",,"Caste-- a novel",,"New York",,"1","8","136","9","H.C. Marsh",,,"0.00",,,,,"1","18","2010-09-24 14:04:26","3398","AC01_018","447","&CISOPTR=681&CISOSHOW=447"
"3633","[March 13th 1875]","1875-03-13",,,"651","0",,"Carlyon's year",,"New York","1868","1","8","88","9","H.C. Marsh",,,"0.00",,,,,"1","18","2010-09-24 14:05:40","3399","AC01_018","447","&CISOPTR=681&CISOSHOW=447"
"3634","Apr 14 1884","1884-04-14",,,"4059","0",,"Senate Ex Ec Doc 47th 2nd Session 33 to 85",,"Washington D.C.","1883","3","8","1140","7","Depart of Interior",,,"0.00",,"1",,,"1","108","2010-12-01 10:33:38","11339","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3635","Apr 14 1884","1884-04-14",,,"4060","0",,"Senate Ex Ec Doc 47th 2nd Session No 48 Part 3",,"Washington D.C.","1883","5","8","817",,"Depart of Interior",,,"0.00",,"1","Probably is no. 84, not no. 48.",,"1","108","2010-12-01 10:34:43","11340","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3636","Apr 14 1884","1884-04-14",,,"4061","0",,"House Ex Ec Doc 47th 2nd Session 2 Rept Currency",,"Washington D.C.","1882","15","8","1100","7","Depart of Interior",,,"0.00",,"1","Not sure if this is the Report of the Secretary of the Treasury or the Comptroller of Currency.",,"1","108","2010-12-01 10:36:26","11341","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3637","Apr 14 1884","1884-04-14",,,"4062","0",,"House Ex Ec Doc 47th 2nd Session for Carrying the Mails",,"Washington D.C.","1883","22","8","1484","7","Depart of Interior",,,"0.00",,"1",,,"1","108","2010-12-01 10:37:45","3400","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3638","Apr 14 1884","1884-04-14",,,"4063","0",,"House Miscel Doc. 47th 2nd Session Rept of Comm on Tariff",,"Washington D.C.","1883","2","8","1248","7","Depart of Interior",,,"0.00",,"1",,,"1","108","2010-07-09 14:18:10","11342","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3639","Apr 14 1884","1884-04-14",,,"4064","0",,"House Miscel Doc. 47th 2nd Session Rept of Comm on Tariff",,"Washington D.C.","1883","3","8","2617","7","Depart of Interior",,,"0.00",,"1",,,"1","108","2010-07-09 14:19:09","11343","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3640","Apr 14 1884","1884-04-14",,,"4065","0",,"House Miscel Doc. 47th 2nd Session Rebellion Record",,"Washington D.C.","1883","6","8","909","7","Depart of Interior",,,"0.00",,"1",,,"1","108","2010-12-01 10:39:20","3401","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3641","May 5th 1879","1879-05-05",,,"3420","0",,"House Ex.Doc. 2nd Sess. 45th Cong",,"Washington  D.C.","1878","22-14","8","700","7","Z Chandler",,,"0.00",,"1","Accession numbers for the first ca. two-thirds of the page (3420-3441)marked through. Written in Date column is the notation ""Used for Juvenile member cards.""
At top of page, at edge of Author and Title column is the notation ""581.""",,"1","91","2010-11-09 15:43:04","3402","AC01_091","520","&CISOPTR=681&CISOSHOW=520"
"3642","Apr 14 1884","1884-04-14",,,"4066","0",,"House Miscel Doc. 47th 2nd Session Election Cases",,"Washington D.C.","1883","9","8","692","7","Depart of Interior",,,"0.00",,"1",,,"1","108","2010-12-01 10:42:13","3403","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3643","Apr 14 1884","1884-04-14",,,"4067","0",,"House Miscel Doc. 47th 2nd Session Decision of Comtr.",,"Washington D.C.","1883","10","8","614","7","Depart of Interior",,,"0.00",,"1","""Decisions rendered by First Comptroller of Treasury""--http://library.wustl.edu/units/westcampus/govdocs/serialset/congress_47.html",,"1","108","2010-12-01 10:44:31","11344","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3644","Apr 14 1884","1884-04-14",,,"4068","0",,"House Miscel Doc. 47th 2nd Session 39 & 40",,"Washington D.C.","1883","11","8","1248","7","Depart of Interior",,,"0.00",,"1",,,"1","108","2010-12-01 10:46:33","11165","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3645","Apr 14 1884","1884-04-14",,,"4069","0",,"House Miscel Doc. 47th 2nd Session Part 3",,"Washington D.C.","1883","13","8","1148","7","Depart of Interior",,,"0.00",,"1",,,"1","108","2010-12-01 10:47:46","11166","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3646","May 5th 1879","1879-05-05",,,"3421","0",,"House Ex. Doc. Receipts & Ex. 2nd Sess. 45th Cong",,"Washington D.C.","1878","22-15","8","608","7","Z Chandler",,,"0.00",,"1","Accession numbers for the first ca. two-thirds of the page (3420-3441)marked through. Written in Date column is the notation ""Used for Juvenile member cards.""
At top of page, at edge of Author and Title column is the notation ""581.""",,"1","91","2010-11-09 16:07:47","3404","AC01_091","520","&CISOPTR=681&CISOSHOW=520"
"3647","May 5th 1879","1879-05-05",,,"3422","0",,"House Ex. Doc. Offers for Carrying Mails Sess. 45th Cong",,"Washington D.C.","1878","22-16","8","1391","7","Z Chandler",,,"0.00",,"1","Accession numbers for the first ca. two-thirds of the page (3420-3441)marked through. Written in Date column is the notation ""Used for Juvenile member cards.""
At top of page, at edge of Author and Title column is the notation ""581.""",,"1","91","2010-11-09 16:08:04","3405","AC01_091","520","&CISOPTR=681&CISOSHOW=520"
"3648","May 19 1884","1884-05-19","6/39","1939-06-01","4070","0","S. Robinson Comper","Persian Poetry","M. S. Robinson","Glasgow","1883","1","12","648","1",,,,"0.00",,"1",,,"1","108","2010-12-01 10:48:42","3406","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3649","May 19 1884","1884-05-19",,,"4071","0",,"Library Magazine",,"London","1880","1-3","12","1000","1","Publisher",,,"0.00",,,"""60"" in cost column but does not say what denomination.",,"1","108","2010-11-11 09:32:45","11345","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3650","Jan 26 _ 1900","1900-01-26","Jl. 1916","1916-07-01","11433","0","Hughes, _Thomas","Tom Brown's Schooldays","F.M. Lupton","N.Y.",,,"12","269","1","Purchased by Board","2","0-0-0-0-25","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","243","2011-07-06 09:34:42","3407","AC01_243","673","&CISOPTR=681&CISOSHOW=673"
"3651","May 12 1884","1884-05-12",,,"4874","0",,"Rept of Supt of Public Education of Indiana",,"Indianapolis","1882","1","8","176","1","John M. Bloss.",,,"0.00",,"1",,,"1","108","2010-12-01 10:54:23","11688","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3652","Jan 26 _ 1900","1900-01-26","Mar 1909","1909-03-01","11434","0","Ellis, _ E.S.","The River Fugitives","Henry T. Coates","Phila",,,"12","256","1","Purchased by Board","2","0-0-0-0-43","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","243","2011-07-06 09:35:13","3408","AC01_243","673","&CISOPTR=681&CISOSHOW=673"
"3653","March 13, 1896","1896-03-13",,,"9749","0",,"Sen. Ex._Fur-Seal arbitration at Paris",,"Washington DC","1895","11","8","149","7","Interior Dept.",,,"0.00",,"1","All accession numbers are lined through; ""juvenile numbers"" is written along the length of the left margin.",,"1","197","2011-05-24 13:31:16","3409","AC01_197","626","&CISOPTR=681&CISOSHOW=626"
"3654","Jan 26 _ 1900","1900-01-26","Jl 1910","1910-07-01","11435","0","Ellis, _ E.S.","The Wilderness Fugitives","Henry T. Coates","Phila",,,"12","253","1","Purchased by Board",,"0-0-0-0-42","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","243","2011-07-06 09:35:33","3410","AC01_243","673","&CISOPTR=681&CISOSHOW=673"
"3655","May 22 1884","1884-05-22",,,"4875","0","Hon - Mrs. Dundas.","Wrecked Not Lost","E. P. Dutton & co.","N Y",,"1","16","160","1","Public schools of Muncie",,,"0.00",,"1","Publisher information found in ""Where Published"" column.",,"1","108","2010-12-01 10:55:00","3411","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3656","Jan 26 _ 1900","1900-01-26","Nov. 1908","1908-11-01","11436","0","Ellis, _ E.S.","Lena-Wingo, The Mohawk","Henry T. Coates","Phila",,,"12","248","1","Purchased by Board",,"0-0-0-0-42","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","243","2011-07-06 09:36:00","3412","AC01_243","673","&CISOPTR=681&CISOSHOW=673"
"3657","May 22 1884","1884-05-22",,,"4876","0","Florence Wilford","Holiday Tales","E.P. Dutton & Co","N Y",,"1","16","160","1","Public Schools of Muncie",,,"0.00",,"1","Publisher information found in ""Where Published"" column.",,"1","108","2010-12-01 10:55:16","3413","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3658","Jan 26 _ 1900","1900-01-26","Jan 1915","1915-01-01","11437","0","Kellogg, _Rev Elijah","The Young Shipbuilders","Lee & Shephad","Boston",,,"12","304","1","Purchased by Board",,"0-0-0-0-40","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","243","2011-07-06 09:36:21","3414","AC01_243","673","&CISOPTR=681&CISOSHOW=673"
"3659","May 22 1884","1884-05-22",,,"4877","0","C. E. Bowen.","Among the Brigands.","E.P. Dutton & Co","N Y",,"1","16","160","1","Public Schools of Muncie",,,"0.00",,"1","Publisher information found in ""Where Published"" column.",,"1","108","2010-12-01 10:55:34","3415","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3660","Mar 13, 1896","1896-03-13",,,"9750","0",,"House Ex_2nd 53d Cong_Commerce & Navigation",,"Washington DC","1895","28","8",,"7","Interior Dept.",,,"0.00",,"1","All accession numbers are lined through; ""juvenile numbers"" is written along the length of the left margin.",,"1","197","2011-05-24 13:37:51","3416","AC01_197","626","&CISOPTR=681&CISOSHOW=626"
"3661","May 22 1884","1884-05-22","July 1904","1904-07-01","4878","0","By a Mother.","Always Happy.","E.P. Dutton & Co","N Y",,"1","16","160","1","Public schools of Muncie",,,"0.00",,"1","Publisher information found in ""Where Published"" column.",,"1","108","2010-12-01 10:55:49","3417","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3662","Jan 26 _ 1900","1900-01-26",,,"11438","0","Muloch, _ Miss","John Halifax, Gentleman","The Mersham Co.","N.Y.",,,"12","373","1","Purchased by Board. ""City Funds""","2","0-0-0-0-25","0.00","&pound;0 0s 0d","5","Lost.

Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","244","2011-07-06 10:43:58","3418","AC01_244","674","&CISOPTR=681&CISOSHOW=674"
"3663","Mar 13, 1896","1896-03-13",,,"9751","0",,"House Repts_ Executive Dept_Organization",,"Washington DC","1895","2","8",,"7","Interior Dept.",,,"0.00",,"1",,,"1","197","2011-05-24 13:43:08","3419","AC01_197","626","&CISOPTR=681&CISOSHOW=626"
"3664","Jan 26 _ 1900","1900-01-26",,,"11439","0","Dickens, _Chas.","A Tale of Two Cities","Ginn & Co.","Boston","1894",,"12","447","1","Purchased by Board ""City funds""",,"0-0-0-0-60","0.00","&pound;0 0s 0d","5","In ""Date"" field: Sold to Ho-Mifflin 25 [cent sign]

Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","244","2011-07-06 10:43:38","3420","AC01_244","674","&CISOPTR=681&CISOSHOW=674"
"3665","May 27th 1875","1875-05-27","3/38","1938-03-01","1985","0","Edmond About","Notary's Nose, The",,"New York","1874","I","16","237","1","G H Andrews",,,"0.00",,,,,"1","53","2010-10-18 13:43:27","3421","AC01_053","482","&CISOPTR=681&CISOSHOW=482"
"3666","Jan 26 _ 1900","1900-01-26","May 1914","1914-05-01","11440","0","Henty, _G.A.","By Pike & Dyke","W.L. Allison & Co.","N.Y.",,,"12","414","1","Purchased by Board ""City funds""",,"0-0-0-0-32","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","244","2011-07-06 10:45:30","3422","AC01_244","674","&CISOPTR=681&CISOSHOW=674"
"3667","May 27th 1875","1875-05-27",,,"1986","0","W. T. Adams","Dorcas Club.",,"Boston Mass.","1875","I","16","368","1","G H Andrews",,,"0.00",,,,,"1","53","2010-10-18 13:46:34","3423","AC01_053","482","&CISOPTR=681&CISOSHOW=482"
"3668","May 22 1884","1884-05-22","Dec. '27","1927-12-01","4879","0","M. A. Pietzker","Peasant to Prince","E.P. Dutton & Co","N Y",,"1","16","192","1","Public schools of Muncie",,,"0.00",,"1","Publisher information found in ""Where Published"" column.",,"1","108","2010-12-01 10:56:05","3424","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3669","Jan 26 _ 1900","1900-01-26","1907","1907-01-01","11441","0","Pearson, _C.H.","Cabin on the Prairie","Lee & Shephard","Boston","1899",,"12","299","1","Purchased by Board ""City funds""",,"0-0-0-0-40","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","244","2011-07-06 10:45:52","3425","AC01_244","674","&CISOPTR=681&CISOSHOW=674"
"3670","May 27th 1875","1875-05-27",,,"1987","0","Horatio Alger Jr","Bound to Rise.",,"Boston Mass.","1873","I","16","331",,"G H Andrews",,,"0.00",,,,,"1","53","2010-10-18 13:48:40","3426","AC01_053","482","&CISOPTR=681&CISOSHOW=482"
"3671","May 22 1884","1884-05-22","Oct 1909","1909-10-01","4882","0",,"Ten Little boys","D. Lathrop & Co.","Boston Mass.",,"1","12","190","1","Public schools of Muncie",,,"0.00",,"1","Publisher information found in author column.",,"1","108","2010-10-12 16:16:08","3427","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3672","May 27th 1875","1875-05-27",,,"1988","0","Alexander Clark","Starting Out",,"Philadelphia Pa.","1875","I","12","219","1","G H Andrews",,,"0.00",,,,,"1","53","2010-10-18 13:50:11","3428","AC01_053","482","&CISOPTR=681&CISOSHOW=482"
"3673","Jan 26 _ 1900","1900-01-26","1907","1907-01-01","11442","0","Meade, _L.T.","Sweet Girl Graduate","A.L. Burt","N.Y.",,,"12","317","1","Purchased by Board ""City funds""",,"0-0-0-0-30","0.00","&pound;0 0s 0d","5","Publisher recorded in the Where Published column.","Cost probably in cents instead of pence.","1","244","2011-07-06 10:46:19","3429","AC01_244","674","&CISOPTR=681&CISOSHOW=674"
"3674","May 27th 1875","1875-05-27",,,"1989","0","R. M. Ballantyne.","The Floating Light.",,"Philadelphia Pa.","nd.","I","12","405","1","G H Andrews",,,"0.00",,,,,"1","53","2010-10-18 13:50:35","3430","AC01_053","482","&CISOPTR=681&CISOSHOW=482"
"3675","May 22 1884","1884-05-22","Je 1910","1910-06-01","4883","0",,"Play Room book","D. Lathrop & Co_","Boston Mass.",,"1","12","190","1","Public schools of Muncie",,,"0.00",,"1","Publisher information found in the author column.",,"1","108","2010-02-15 09:59:57","3431","AC01_108","537","&CISOPTR=681&CISOSHOW=537"
"3676","April 1st [1891]","1891-04-01","Feb. 1919","1919-02-01","7621","0","Jacob Abbott","Franconia Series. Wallace","Harper Bro.","N. York","1878","1 Vol.","12","203","1","By Board","1","0-57-0-0-0","0.57","&pound;0 0s 57d","5",,,"1","146","2011-01-06 12:08:38","3432","AC01_146","575","&CISOPTR=681&CISOSHOW=575"
